firm_id,k0,theta0,omega0,c_f,a_Extraction,a_Energy,a_Manufacturing,a_Construction,a_Agriculture,gamma_Extraction,gamma_Energy,gamma_Manufacturing,gamma_Construction,gamma_Agriculture
0,420.680301,1.441539,0.036385,38.670601,0.002033,0.015236,0.195791,0.018329,0.051648,0.000175,0.0,0.532964,0.465952,0.000908
1,194.380742,0.620655,0.016812,17.868248,0.002372,0.016008,0.205723,0.014349,0.057193,0.000175,0.0,0.532964,0.465952,0.000908
2,549.563431,1.396122,0.047533,50.518049,0.002346,0.016982,0.175878,0.019163,0.067856,0.000175,0.0,0.532964,0.465952,0.000908
3,369.575857,0.600396,0.031965,33.972878,0.002127,0.013325,0.208399,0.018388,0.079935,0.000175,0.0,0.532964,0.465952,0.000908
4,114.364057,0.76454,0.009892,10.512797,0.002353,0.013242,0.196929,0.016813,0.099958,0.000175,0.0,0.532964,0.465952,0.000908
5,109.881194,1.346479,0.009504,10.100715,0.002217,0.018271,0.154593,0.014769,0.060062,0.000175,0.0,0.532964,0.465952,0.000908
6,353.245407,0.679492,0.030553,32.471718,0.002467,0.014552,0.230988,0.014556,0.081342,0.000175,0.0,0.532964,0.465952,0.000908
7,311.679122,0.913568,0.026958,28.650781,0.002152,0.012517,0.172588,0.015275,0.068029,0.000175,0.0,0.532964,0.465952,0.000908
8,334.455062,0.949859,0.028928,30.744435,0.001953,0.016547,0.145148,0.017962,0.064115,0.000175,0.0,0.532964,0.465952,0.000908
9,349.941193,0.745259,0.030267,32.167982,0.002167,0.016595,0.159057,0.014347,0.069983,0.000175,0.0,0.532964,0.465952,0.000908
10,407.438703,1.210245,0.03524,37.453381,0.001327,0.012305,0.15963,0.017681,0.066198,0.000175,0.0,0.532964,0.465952,0.000908
11,628.379549,1.351335,0.05435,57.763139,0.002182,0.016023,0.187512,0.013744,0.066681,0.000175,0.0,0.532964,0.465952,0.000908
12,182.708439,1.374575,0.015803,16.795284,0.001192,0.017287,0.178563,0.016059,0.06169,0.000175,0.0,0.532964,0.465952,0.000908
13,176.156295,0.839322,0.015236,16.192985,0.001591,0.016375,0.176884,0.016833,0.053178,0.000175,0.0,0.532964,0.465952,0.000908
14,184.668122,1.03085,0.015972,16.975426,0.002205,0.01702,0.204174,0.023895,0.05203,0.000175,0.0,0.532964,0.465952,0.000908
15,423.225272,0.748406,0.036605,38.904545,0.002213,0.012541,0.195782,0.013468,0.072338,0.000175,0.0,0.532964,0.465952,0.000908
16,751.088151,0.744797,0.064963,69.043,0.00173,0.016269,0.195083,0.020649,0.06292,0.000175,0.0,0.532964,0.465952,0.000908
17,274.719598,0.661254,0.023761,25.253314,0.001851,0.014794,0.197847,0.016935,0.059976,0.000175,0.0,0.532964,0.465952,0.000908
18,79.323521,1.440019,0.006861,7.291732,0.00253,0.014399,0.204065,0.017612,0.06567,0.000175,0.0,0.532964,0.465952,0.000908
19,128.016464,1.387989,0.011072,11.767781,0.001916,0.01764,0.135616,0.016855,0.073892,0.000175,0.0,0.532964,0.465952,0.000908
20,215.882129,1.277359,0.018672,19.844741,0.002884,0.019327,0.176153,0.017701,0.067385,0.000175,0.0,0.532964,0.465952,0.000908
21,254.656929,1.017662,0.022026,23.409074,0.00206,0.020262,0.134154,0.016181,0.059439,0.000175,0.0,0.532964,0.465952,0.000908
22,278.528787,0.990608,0.02409,25.60347,0.00219,0.018856,0.18706,0.020594,0.078831,0.000175,0.0,0.532964,0.465952,0.000908
23,364.200037,1.029746,0.0315,33.478711,0.002626,0.015228,0.185921,0.015462,0.083116,0.000175,0.0,0.532964,0.465952,0.000908
24,295.156817,1.036568,0.025529,27.131985,0.002101,0.016322,0.217641,0.019623,0.070637,0.000175,0.0,0.532964,0.465952,0.000908
25,667.913291,0.934563,0.057769,61.397238,0.001773,0.017368,0.22233,0.015033,0.0759,0.000175,0.0,0.532964,0.465952,0.000908
26,237.209617,0.631755,0.020517,21.805248,0.002026,0.015765,0.191796,0.016409,0.079017,0.000175,0.0,0.532964,0.465952,0.000908
27,212.122475,0.625664,0.018347,19.499139,0.002049,0.015788,0.172598,0.014099,0.077702,0.000175,0.0,0.532964,0.465952,0.000908
28,474.318918,1.45225,0.041025,43.601275,0.001679,0.017517,0.200095,0.017728,0.071915,0.000175,0.0,0.532964,0.465952,0.000908
29,141.623107,0.982031,0.012249,13.018557,0.001983,0.015344,0.171886,0.020566,0.071745,0.000175,0.0,0.532964,0.465952,0.000908
30,449.60509,1.453206,0.038887,41.329482,0.001843,0.013877,0.186012,0.016367,0.070903,0.000175,0.0,0.532964,0.465952,0.000908
31,378.450962,0.663577,0.032733,34.788713,0.002367,0.014548,0.215711,0.016076,0.055632,0.000175,0.0,0.532964,0.465952,0.000908
32,325.736607,1.054417,0.028174,29.943,0.002071,0.017025,0.171118,0.014009,0.072855,0.000175,0.0,0.532964,0.465952,0.000908
33,922.899422,0.707717,0.079823,84.836573,0.001975,0.015488,0.20995,0.015998,0.053517,0.000175,0.0,0.532964,0.465952,0.000908
