firm_id,k0,theta0,omega0,c_f,a_Extraction,a_Energy,a_Manufacturing,a_Construction,a_Agriculture,gamma_Extraction,gamma_Energy,gamma_Manufacturing,gamma_Construction,gamma_Agriculture
0,0.056455,0.739935,0.030352,71.011201,0.129442,0.249165,0.067641,0.032588,5.7e-05,0.000175,0.0,0.532964,0.465952,0.000908
1,0.026493,1.05666,0.014243,33.32343,0.108951,0.208359,0.091712,0.032764,5.4e-05,0.000175,0.0,0.532964,0.465952,0.000908
2,0.053613,0.787704,0.028824,67.436572,0.103389,0.21688,0.080447,0.027641,6.1e-05,0.000175,0.0,0.532964,0.465952,0.000908
3,0.058232,1.194799,0.031307,73.246511,0.146062,0.186906,0.065833,0.030774,7.4e-05,0.000175,0.0,0.532964,0.465952,0.000908
4,0.229978,0.886201,0.123643,289.27507,0.127074,0.208174,0.062797,0.030751,7.4e-05,0.000175,0.0,0.532964,0.465952,0.000908
5,0.156586,0.786323,0.084186,196.959944,0.131286,0.266014,0.07347,0.033325,7.2e-05,0.000175,0.0,0.532964,0.465952,0.000908
6,0.030434,1.252582,0.016362,38.280767,0.094035,0.238875,0.060915,0.036553,5.6e-05,0.000175,0.0,0.532964,0.465952,0.000908
7,0.042737,0.799319,0.022977,53.756446,0.140397,0.283833,0.066108,0.026843,4.9e-05,0.000175,0.0,0.532964,0.465952,0.000908
8,0.021103,0.870832,0.011346,26.544655,0.13078,0.261165,0.076613,0.030878,6.9e-05,0.000175,0.0,0.532964,0.465952,0.000908
9,0.035626,0.792168,0.019154,44.811706,0.103419,0.233785,0.086944,0.039292,6.4e-05,0.000175,0.0,0.532964,0.465952,0.000908
10,0.061366,0.769294,0.032993,77.188973,0.113821,0.284329,0.0801,0.028142,7.4e-05,0.000175,0.0,0.532964,0.465952,0.000908
11,0.104691,0.712689,0.056285,131.684088,0.127092,0.233782,0.051846,0.027812,7.6e-05,0.000175,0.0,0.532964,0.465952,0.000908
12,0.032787,0.733237,0.017628,41.241429,0.123128,0.247829,0.076525,0.032432,7e-05,0.000175,0.0,0.532964,0.465952,0.000908
13,0.034295,0.804785,0.018438,43.138063,0.116925,0.20936,0.073904,0.035711,7.7e-05,0.000175,0.0,0.532964,0.465952,0.000908
14,0.014001,0.732029,0.007527,17.610938,0.120281,0.22108,0.077793,0.031516,7.1e-05,0.000175,0.0,0.532964,0.465952,0.000908
15,0.046058,1.054686,0.024762,57.933399,0.117632,0.197143,0.093167,0.038403,7.5e-05,0.000175,0.0,0.532964,0.465952,0.000908
16,0.026844,1.108429,0.014432,33.765682,0.124991,0.25391,0.05365,0.035777,6.2e-05,0.000175,0.0,0.532964,0.465952,0.000908
17,0.03696,0.936178,0.019871,46.489662,0.152335,0.183423,0.066907,0.035697,6.7e-05,0.000175,0.0,0.532964,0.465952,0.000908
18,0.030006,0.890795,0.016132,37.742136,0.083126,0.246138,0.079886,0.034189,7.1e-05,0.000175,0.0,0.532964,0.465952,0.000908
19,0.047987,1.002716,0.0258,60.36057,0.117899,0.212713,0.057669,0.044609,7.8e-05,0.000175,0.0,0.532964,0.465952,0.000908
20,0.017688,1.225003,0.009509,22.248099,0.125441,0.260924,0.091227,0.030509,6.5e-05,0.000175,0.0,0.532964,0.465952,0.000908
21,0.021058,1.210679,0.011321,26.487329,0.127709,0.244979,0.077263,0.023296,7.4e-05,0.000175,0.0,0.532964,0.465952,0.000908
22,0.182189,0.726085,0.097951,229.164911,0.115535,0.287619,0.083009,0.040022,6.6e-05,0.000175,0.0,0.532964,0.465952,0.000908
23,0.023454,0.808899,0.01261,29.501469,0.093864,0.244241,0.067109,0.029375,6.8e-05,0.000175,0.0,0.532964,0.465952,0.000908
24,0.026296,0.842047,0.014138,33.076474,0.128324,0.172904,0.082602,0.031976,7.8e-05,0.000175,0.0,0.532964,0.465952,0.000908
25,0.152879,0.849633,0.082193,192.29713,0.158295,0.216697,0.085818,0.038291,5.1e-05,0.000175,0.0,0.532964,0.465952,0.000908
26,0.290191,1.04274,0.156016,365.013344,0.097055,0.183596,0.075709,0.024741,5.7e-05,0.000175,0.0,0.532964,0.465952,0.000908
