firm_id,k0,theta0,omega0,c_f,a_Extraction,a_Energy,a_Manufacturing,a_Construction,a_Agriculture,gamma_Extraction,gamma_Energy,gamma_Manufacturing,gamma_Construction,gamma_Agriculture
0,2365.342408,0.909619,0.030285,6.59993,0.059022,0.021701,0.25703,0.02023,0.005321,0.000175,0.0,0.532964,0.465952,0.000908
1,806.671985,0.936822,0.010328,2.250828,0.062893,0.022498,0.17267,0.018253,0.004,0.000175,0.0,0.532964,0.465952,0.000908
2,3378.764417,0.997218,0.043261,9.427645,0.064084,0.022921,0.187492,0.018865,0.003879,0.000175,0.0,0.532964,0.465952,0.000908
3,3933.780418,0.826517,0.050367,10.976286,0.064878,0.024068,0.179596,0.019556,0.005116,0.000175,0.0,0.532964,0.465952,0.000908
4,389.193347,0.790223,0.004983,1.085952,0.054663,0.029679,0.194655,0.030004,0.00348,0.000175,0.0,0.532964,0.465952,0.000908
5,654.034958,1.000966,0.008374,1.82493,0.05374,0.024402,0.167871,0.019276,0.003593,0.000175,0.0,0.532964,0.465952,0.000908
6,2053.244965,0.849334,0.026289,5.729096,0.06551,0.02641,0.227005,0.024725,0.004525,0.000175,0.0,0.532964,0.465952,0.000908
7,1439.297367,1.119268,0.018429,4.01602,0.05597,0.033966,0.19961,0.019041,0.003873,0.000175,0.0,0.532964,0.465952,0.000908
8,1828.88813,0.977469,0.023417,5.103081,0.047568,0.026497,0.165518,0.025073,0.004106,0.000175,0.0,0.532964,0.465952,0.000908
9,936.799488,1.218528,0.011995,2.613918,0.048595,0.031221,0.177215,0.023099,0.004009,0.000175,0.0,0.532964,0.465952,0.000908
10,3745.920978,1.137827,0.047962,10.452109,0.050178,0.024299,0.216313,0.021297,0.004322,0.000175,0.0,0.532964,0.465952,0.000908
11,3453.480894,0.901417,0.044218,9.636124,0.062059,0.027103,0.234023,0.02167,0.005075,0.000175,0.0,0.532964,0.465952,0.000908
12,1954.185899,1.218273,0.025021,5.452695,0.058843,0.024239,0.278441,0.019764,0.004165,0.000175,0.0,0.532964,0.465952,0.000908
13,4567.39077,1.201515,0.05848,12.744227,0.063884,0.026566,0.319507,0.023312,0.004526,0.000175,0.0,0.532964,0.465952,0.000908
14,2694.348962,0.947195,0.034498,7.517945,0.054023,0.031707,0.219611,0.020365,0.003021,0.000175,0.0,0.532964,0.465952,0.000908
15,932.128273,0.886766,0.011935,2.600884,0.058985,0.021572,0.177908,0.018142,0.004079,0.000175,0.0,0.532964,0.465952,0.000908
16,2489.668966,1.126997,0.031877,6.946834,0.063266,0.029834,0.149888,0.018,0.003621,0.000175,0.0,0.532964,0.465952,0.000908
17,860.745029,0.796215,0.011021,2.401706,0.054987,0.028966,0.214832,0.022375,0.003422,0.000175,0.0,0.532964,0.465952,0.000908
18,3743.082126,0.832878,0.047926,10.444188,0.061684,0.025568,0.182684,0.027631,0.003602,0.000175,0.0,0.532964,0.465952,0.000908
19,1781.059479,0.715528,0.022804,4.969626,0.052155,0.022501,0.19391,0.022333,0.003908,0.000175,0.0,0.532964,0.465952,0.000908
20,1598.809417,1.190642,0.020471,4.461101,0.054546,0.028256,0.188271,0.021419,0.004714,0.000175,0.0,0.532964,0.465952,0.000908
21,1075.091198,1.116243,0.013765,2.999788,0.054393,0.025818,0.202063,0.022758,0.003368,0.000175,0.0,0.532964,0.465952,0.000908
22,4929.227095,1.140813,0.063113,13.753845,0.048141,0.028944,0.242159,0.026522,0.004128,0.000175,0.0,0.532964,0.465952,0.000908
23,1638.081178,1.186867,0.020974,4.570679,0.061964,0.028043,0.211295,0.022533,0.003821,0.000175,0.0,0.532964,0.465952,0.000908
24,1315.855298,0.990733,0.016848,3.671584,0.053683,0.035543,0.201523,0.0205,0.003912,0.000175,0.0,0.532964,0.465952,0.000908
25,1398.558815,1.057668,0.017907,3.902348,0.057707,0.026966,0.176682,0.025739,0.004776,0.000175,0.0,0.532964,0.465952,0.000908
26,2837.707413,0.796242,0.036334,7.917953,0.061906,0.023974,0.160532,0.023252,0.004454,0.000175,0.0,0.532964,0.465952,0.000908
27,2483.091559,0.780843,0.031793,6.928481,0.061589,0.028714,0.191857,0.027452,0.005022,0.000175,0.0,0.532964,0.465952,0.000908
28,2578.82848,1.118408,0.033019,7.195613,0.063644,0.028889,0.204717,0.022411,0.004015,0.000175,0.0,0.532964,0.465952,0.000908
29,2616.417279,0.998157,0.0335,7.300495,0.056754,0.034273,0.269047,0.018145,0.003702,0.000175,0.0,0.532964,0.465952,0.000908
30,10282.744608,1.055532,0.131659,28.691573,0.054055,0.031682,0.210448,0.017758,0.003973,0.000175,0.0,0.532964,0.465952,0.000908
31,1339.125938,1.17728,0.017146,3.736515,0.056914,0.029489,0.239154,0.02793,0.004261,0.000175,0.0,0.532964,0.465952,0.000908
