firm_id,k0,theta0,omega0,c_f,a_Extraction,a_Energy,a_Manufacturing,a_Construction,a_Agriculture,gamma_Extraction,gamma_Energy,gamma_Manufacturing,gamma_Construction,gamma_Agriculture
0,54939.85633,0.928687,0.006183,207.969716,0.030485,0.01188,0.420709,0.005397,0.02761,0.000175,0.0,0.532964,0.465952,0.000908
1,27801.62543,1.000734,0.003129,105.240467,0.027369,0.012791,0.353428,0.004473,0.026523,0.000175,0.0,0.532964,0.465952,0.000908
2,104519.727287,0.636103,0.011763,395.649705,0.024816,0.014641,0.416177,0.004164,0.022192,0.000175,0.0,0.532964,0.465952,0.000908
3,327515.212167,0.651386,0.036859,1239.77837,0.02773,0.010817,0.325191,0.005618,0.025964,0.000175,0.0,0.532964,0.465952,0.000908
4,143176.785718,0.799293,0.016113,541.982404,0.024733,0.015054,0.494261,0.005234,0.030325,0.000175,0.0,0.532964,0.465952,0.000908
5,210654.520747,0.826648,0.023708,797.413093,0.029808,0.012619,0.487762,0.004604,0.024083,0.000175,0.0,0.532964,0.465952,0.000908
6,429817.792687,0.953207,0.048373,1627.035272,0.019682,0.016251,0.389459,0.006276,0.019615,0.000175,0.0,0.532964,0.465952,0.000908
7,520159.91305,1.141283,0.05854,1969.016965,0.024633,0.009553,0.427158,0.004725,0.025215,0.000175,0.0,0.532964,0.465952,0.000908
8,170149.427421,1.16557,0.019149,644.08483,0.019217,0.012158,0.281786,0.005072,0.022081,0.000175,0.0,0.532964,0.465952,0.000908
9,531049.955641,0.936675,0.059766,2010.240209,0.020701,0.010623,0.340081,0.005256,0.024016,0.000175,0.0,0.532964,0.465952,0.000908
10,193579.583147,0.933565,0.021786,732.777505,0.031786,0.012086,0.387056,0.0046,0.024974,0.000175,0.0,0.532964,0.465952,0.000908
11,92025.78454,0.737198,0.010357,348.355047,0.029628,0.014199,0.344404,0.005418,0.019575,0.000175,0.0,0.532964,0.465952,0.000908
12,111772.672835,1.117984,0.012579,423.105056,0.023255,0.013318,0.450246,0.00466,0.019841,0.000175,0.0,0.532964,0.465952,0.000908
13,55012.375748,0.839321,0.006191,208.244231,0.020678,0.013171,0.545788,0.004746,0.027178,0.000175,0.0,0.532964,0.465952,0.000908
14,88365.383236,0.550678,0.009945,334.498938,0.016606,0.013358,0.339048,0.006193,0.023375,0.000175,0.0,0.532964,0.465952,0.000908
15,135040.405428,0.943444,0.015198,511.182893,0.023877,0.014105,0.356743,0.004318,0.017208,0.000175,0.0,0.532964,0.465952,0.000908
16,342015.274752,1.000697,0.038491,1294.667008,0.037244,0.01176,0.419034,0.003515,0.028441,0.000175,0.0,0.532964,0.465952,0.000908
17,712374.138282,0.745379,0.080172,2696.626035,0.027651,0.015211,0.51507,0.006428,0.026336,0.000175,0.0,0.532964,0.465952,0.000908
18,59515.820697,1.101703,0.006698,225.291603,0.023819,0.015111,0.336729,0.007399,0.022715,0.000175,0.0,0.532964,0.465952,0.000908
19,246225.887922,1.094835,0.027711,932.065195,0.027777,0.014494,0.419889,0.00475,0.02075,0.000175,0.0,0.532964,0.465952,0.000908
20,78222.101246,1.23478,0.008803,296.102488,0.020497,0.014872,0.531567,0.003775,0.028659,0.000175,0.0,0.532964,0.465952,0.000908
21,262892.460824,1.179252,0.029587,995.154956,0.024775,0.014303,0.315725,0.004818,0.026642,0.000175,0.0,0.532964,0.465952,0.000908
22,161922.538429,1.183859,0.018223,612.942707,0.026294,0.018565,0.333778,0.004836,0.036143,0.000175,0.0,0.532964,0.465952,0.000908
23,41565.176898,0.838472,0.004678,157.341111,0.025573,0.013503,0.379591,0.004906,0.026927,0.000175,0.0,0.532964,0.465952,0.000908
24,377898.248997,1.32254,0.04253,1430.498669,0.029168,0.013065,0.374109,0.004272,0.026796,0.000175,0.0,0.532964,0.465952,0.000908
25,110828.81607,1.077754,0.012473,419.532174,0.027279,0.012219,0.456928,0.005506,0.024657,0.000175,0.0,0.532964,0.465952,0.000908
26,117315.535915,0.956817,0.013203,444.087048,0.028637,0.011718,0.419425,0.005461,0.028577,0.000175,0.0,0.532964,0.465952,0.000908
27,76415.49231,1.156718,0.0086,289.263738,0.023364,0.011351,0.309944,0.004034,0.027767,0.000175,0.0,0.532964,0.465952,0.000908
28,106544.289466,0.884127,0.011991,403.313497,0.02964,0.011973,0.437006,0.005606,0.030504,0.000175,0.0,0.532964,0.465952,0.000908
29,253230.397438,1.040356,0.028499,958.580114,0.033075,0.013537,0.370927,0.006868,0.02338,0.000175,0.0,0.532964,0.465952,0.000908
30,154561.474566,1.27043,0.017395,585.078085,0.022397,0.014384,0.489705,0.00518,0.023684,0.000175,0.0,0.532964,0.465952,0.000908
31,233905.452697,1.424209,0.026324,885.427333,0.022675,0.013786,0.368152,0.004799,0.023529,0.000175,0.0,0.532964,0.465952,0.000908
32,240212.720627,1.459808,0.027034,909.302909,0.031652,0.012197,0.367654,0.004942,0.028466,0.000175,0.0,0.532964,0.465952,0.000908
33,517245.029964,1.031001,0.058212,1957.982947,0.025172,0.015659,0.438695,0.005536,0.031653,0.000175,0.0,0.532964,0.465952,0.000908
34,136695.860672,1.048097,0.015384,517.449465,0.031977,0.015285,0.453536,0.003894,0.0236,0.000175,0.0,0.532964,0.465952,0.000908
35,55174.513246,1.335317,0.006209,208.857988,0.024241,0.013357,0.432616,0.005174,0.023721,0.000175,0.0,0.532964,0.465952,0.000908
36,422320.843088,0.83666,0.047529,1598.656267,0.032223,0.012404,0.314126,0.004761,0.026502,0.000175,0.0,0.532964,0.465952,0.000908
37,137936.970581,1.373852,0.015524,522.147571,0.026421,0.014854,0.438491,0.00666,0.024367,0.000175,0.0,0.532964,0.465952,0.000908
38,438632.239714,1.021251,0.049365,1660.401542,0.026928,0.014072,0.346364,0.004918,0.029163,0.000175,0.0,0.532964,0.465952,0.000908
39,244371.369442,0.632651,0.027502,925.045088,0.032758,0.01101,0.419023,0.006483,0.018035,0.000175,0.0,0.532964,0.465952,0.000908
40,161915.94773,0.587659,0.018222,612.917759,0.024537,0.013542,0.326711,0.004278,0.022333,0.000175,0.0,0.532964,0.465952,0.000908
