t,year,rho_A,GDP_proxy,K_total,U_total,X_Extraction,K_Extraction,theta_Extraction,fd_share_Extraction,HHI_Extraction,A_diag_Extraction,X_Energy,K_Energy,theta_Energy,fd_share_Energy,HHI_Energy,A_diag_Energy,X_Manufacturing,K_Manufacturing,theta_Manufacturing,fd_share_Manufacturing,HHI_Manufacturing,A_diag_Manufacturing,X_Construction,K_Construction,theta_Construction,fd_share_Construction,HHI_Construction,A_diag_Construction,X_Agriculture,K_Agriculture,theta_Agriculture,fd_share_Agriculture,HHI_Agriculture,A_diag_Agriculture,A_00,B_00,A_01,B_01,A_02,B_02,A_03,B_03,A_04,B_04,A_10,B_10,A_11,B_11,A_12,B_12,A_13,B_13,A_14,B_14,A_20,B_20,A_21,B_21,A_22,B_22,A_23,B_23,A_24,B_24,A_30,B_30,A_31,B_31,A_32,B_32,A_33,B_33,A_34,B_34,A_40,B_40,A_41,B_41,A_42,B_42,A_43,B_43,A_44,B_44,balance_resid,I_total,I_Extraction,I_Energy,I_Manufacturing,I_Construction,I_Agriculture
0,2015,0.44413,2.14059e+06,1.22913e+07,1.24328e+06,10746,78101.6,1,9.30579e-07,0.0486465,0.057789,106178,707256,1,0.545413,0.107062,0.228126,1.67556e+06,8.88552e+06,1,0.548771,0.0377934,0.397999,297148,2.25266e+06,1,0.878587,0.0579814,0.076935,50958,367810,1,0.0942637,0.0458768,0.067526,0.057789,0.000789,0.1214,0.001724,0.026759,0.001394,0.006771,0.000645,0.002041,0.00096,0.027638,0,0.228126,0,0.013303,0,0.002198,0,0.015797,0,0.213568,2.4017,0.073537,5.25173,0.397999,4.24476,0.23356,1.96403,0.190078,2.92288,0.021776,2.09972,0.032285,4.5914,0.005192,3.71104,0.076935,1.71708,0.016779,2.55538,0.004188,0.004093,6.6e-05,0.008951,0.025461,0.007234,0,0.003347,0.067526,0.004982,0.171663,436384,2011.64,5719.9,338020,87114.9,3517.74
1,2016,0.443165,2.07007e+06,1.27277e+07,1.28331e+06,11001.8,80113.2,1.00069,9.165e-07,0.0509681,0.0575685,105850,712975,1.00019,0.569537,0.111904,0.225963,1.6138e+06,9.22354e+06,1.00088,0.584958,0.0378562,0.396838,291827,2.33977e+06,1.00108,0.939021,0.0609295,0.07643,47586.8,371328,1.00026,0.104833,0.045014,0.0677029,0.0575685,0.00137645,0.121259,0.00304897,0.0266626,0.000957784,0.00669664,0.00286498,0.00203649,0.000182609,0.0277903,0,0.225963,0,0.0133172,0,0.0021872,0,0.0158996,0,0.215954,4.192,0.0735045,9.28566,0.396838,2.91694,0.236185,8.72531,0.188316,0.556136,0.0217139,3.66492,0.0321421,8.11813,0.00514317,2.55018,0.07643,7.62824,0.0168241,0.486211,0.00417362,0.00714183,6.57296e-05,0.0158198,0.0255959,0.00496953,0,0.0148651,0.0677029,0.000947478,0.187512,470064,2088.83,5998.89,363312,94849.7,3814.44
2,2017,0.44103,2.21461e+06,1.31978e+07,1.29917e+06,11294,82202,1.0014,9.18922e-07,0.0509774,0.0575053,109979,718974,1.00039,0.559023,0.114571,0.223558,1.72674e+06,9.58685e+06,1.0018,0.548188,0.037703,0.394904,314629,2.43462e+06,1.00225,0.909309,0.0618102,0.0762747,51973.5,375142,1.00056,0.0965785,0.0465547,0.06722,0.0575053,0.0012508,0.120062,0.000254217,0.026561,0.000562985,0.00667659,0.00072793,0.0020231,0.000152172,0.0277618,0,0.223558,0,0.0132713,0,0.00218757,0,0.0158197,0,0.215742,3.80931,0.0729705,0.774222,0.394904,1.71457,0.23648,2.21692,0.186774,0.463442,0.0216888,3.33035,0.0318366,0.676875,0.0051152,1.49899,0.0762747,1.93817,0.0167263,0.405171,0.00416923,0.00648985,6.51413e-05,0.00131903,0.0255204,0.00292109,0,0.00377692,0.06722,0.000789557,0.166628,477227,1944.92,6036,374388,91090.2,3768.06
3,2018,0.439644,2.30664e+06,1.3675e+07,1.35311e+06,11602.2,84147,1.00204,9.15951e-07,0.0510357,0.0573484,112078,725010,1.0006,0.569566,0.115761,0.222665,1.80113e+06,9.96124e+06,1.00271,0.550744,0.0377262,0.393586,328522,2.52571e+06,1.00333,0.889311,0.0620659,0.0762111,53303.5,378910,1.00085,0.0966915,0.0469026,0.0670513,0.0573484,0.00110443,0.119543,0.000503227,0.0264963,0.000880671,0.00667032,0.0011474,0.00201753,0.000495788,0.0277024,0,0.222665,0,0.0132427,0,0.00218659,0,0.0157858,0,0.21522,3.36354,0.0727883,1.53258,0.393586,2.68209,0.236474,3.49442,0.18633,1.50993,0.0216333,2.94062,0.0317084,1.33988,0.00510106,2.34486,0.0762111,3.05505,0.0167003,1.32008,0.00415762,0.00573039,6.49459e-05,0.00261103,0.0254598,0.00456943,0,0.00595337,0.0670513,0.00257243,0.16616,504774,2075.13,6289.14,395003,97489.2,3917.31
4,2019,0.43806,2.40597e+06,1.41798e+07,1.40011e+06,11889.3,86222.1,1.00271,8.7936e-07,0.0510876,0.0573134,115163,731300,1.00081,0.573347,0.118131,0.221571,1.88287e+06,1.03562e+07,1.00364,0.550721,0.0377592,0.392087,341969,2.6232e+06,1.00445,0.853539,0.0623306,0.0760959,54079.9,382827,1.00115,0.0973085,0.0470302,0.06664,0.0573134,0.00126465,0.11902,0.000356754,0.0264077,0.000845723,0.00666105,0.00126873,0.00200429,0.000882981,0.0276921,0,0.221571,0,0.0132041,0,0.00218473,0,0.0156907,0,0.215146,3.8515,0.0726614,1.0865,0.392087,2.57566,0.236358,3.86393,0.1852,2.68913,0.0216219,3.36723,0.0315605,0.949888,0.00508336,2.25181,0.0760959,3.3781,0.0166072,2.35101,0.004155,0.00656172,6.47277e-05,0.00185104,0.025389,0.0043881,0,0.00658291,0.06664,0.00458141,0.160679,527407,2139.34,6462.86,414121,100678,4005.85
5,2020,0.436893,2.50842e+06,1.47072e+07,1.40536e+06,12196.1,88361.4,1.00338,8.66046e-07,0.0511422,0.0571731,117209,737762,1.00102,0.551725,0.118506,0.22104,1.9679e+06,1.07704e+07,1.00458,0.526363,0.0378205,0.391052,356411,2.72388e+06,1.00555,0.840266,0.062614,0.0760051,54707.2,386833,1.00145,0.0983965,0.0470905,0.0660223,0.0571731,0.00122059,0.118798,0.000552753,0.0263635,0.000852298,0.0066512,0.00121996,0.00198483,0.00111752,0.0276396,0,0.22104,0,0.0131815,0,0.00218227,0,0.0155412,0,0.214761,3.71731,0.0725845,1.68341,0.391052,2.59568,0.23624,3.71539,0.18341,3.40342,0.0215717,3.24992,0.031496,1.47175,0.00507326,2.26931,0.0760051,3.24824,0.0164455,2.9755,0.00414537,0.00633311,6.46193e-05,0.002868,0.0253599,0.00442221,0,0.00632984,0.0660223,0.00579834,0.143065,549098,2150.2,6498.34,432028,104372,4048.36
6,2021,0.435217,2.60999e+06,1.52563e+07,1.42889e+06,12512.6,90511.6,1.00404,8.74088e-07,0.051197,0.0569305,118548,744261,1.00124,0.556842,0.11834,0.22006,2.0522e+06,1.12024e+07,1.00551,0.513898,0.0378808,0.38954,371379,2.82825e+06,1.00666,0.815125,0.0629061,0.0759782,55349.8,390882,1.00176,0.100033,0.0471536,0.0656797,0.0569305,0.0011887,0.118211,0.000849877,0.0262853,0.000896781,0.00664752,0.00122031,0.00197347,0.0011025,0.0275054,0,0.22006,0,0.0131394,0,0.00218212,0,0.0154568,0,0.213839,3.62019,0.0722826,2.58831,0.38954,2.73115,0.236318,3.71646,0.182395,3.35768,0.0214822,3.165,0.0313452,2.26287,0.00505604,2.38775,0.0759782,3.24917,0.0163593,2.9355,0.00412735,0.00616764,6.43633e-05,0.00440965,0.0252853,0.00465301,0,0.00633165,0.0656797,0.00572041,0.132516,571484,2193.16,6603.6,450149,108427,4110.48
7,2022,0.434196,2.71121e+06,1.58278e+07,1.41619e+06,12831.1,92704.8,1.0047,8.69172e-07,0.0512536,0.0568264,119918,750864,1.00146,0.538231,0.118143,0.219568,2.13551e+06,1.16525e+07,1.00644,0.491358,0.0379348,0.388562,386953,2.93668e+06,1.00776,0.766822,0.0632091,0.0758103,56000,394992,1.00206,0.100389,0.0472186,0.0655237,0.0568264,0.001205,0.118008,0.000843228,0.0262403,0.000945615,0.00663089,0.00121841,0.00196833,0.00110628,0.027465,0,0.219568,0,0.0131165,0,0.00217789,0,0.0154185,0,0.213532,3.66984,0.0721583,2.56806,0.388562,2.87988,0.23599,3.71068,0.181894,3.3692,0.021446,3.20841,0.0312754,2.24516,0.00504574,2.51778,0.0758103,3.24412,0.016312,2.94557,0.00411958,0.00625223,6.4246e-05,0.00437515,0.0252484,0.00490639,0,0.00632181,0.0655237,0.00574004,0.120026,582061,2196.92,6608.16,457469,111642,4144.31
8,2023,0.433323,2.76339e+06,1.64098e+07,1.45222e+06,13156.3,94901.7,1.00534,8.51111e-07,0.0513099,0.0566851,121161,757473,1.00168,0.553826,0.118183,0.219439,2.16922e+06,1.211e+07,1.00736,0.496328,0.0379237,0.387763,403188,3.04832e+06,1.00886,0.750647,0.0635233,0.0755887,56661.1,399136,1.00236,0.102707,0.0472853,0.0653873,0.0566851,0.0011822,0.117968,0.000930598,0.0261867,0.00237464,0.00660863,0.00120341,0.00196402,0.00109699,0.0273987,0,0.219439,0,0.0130887,0,0.00217155,0,0.0153868,0,0.213007,3.60039,0.0721377,2.83414,0.387763,7.23198,0.235423,3.66501,0.181493,3.34089,0.0213811,3.14769,0.0312596,2.47779,0.00503454,6.32267,0.0755887,3.20419,0.0162777,2.92082,0.00410844,0.0061339,6.42286e-05,0.00482847,0.0251939,0.012321,0,0.006244,0.0653873,0.00569181,0.111401,644649,2531.68,6910.25,501337,129417,4452.66
9,2024,0.430709,2.94302e+06,1.70545e+07,1.47003e+06,13482.4,97433.4,1.00607,8.35998e-07,0.0513654,0.0565494,122480,764383,1.00191,0.550231,0.118091,0.219212,2.32976e+06,1.26114e+07,1.00831,0.469126,0.0381192,0.385109,419962,3.17774e+06,1.01008,0.723759,0.0638445,0.0755066,57328.5,403589,1.00268,0.100065,0.0473528,0.0649528,0.0565494,0.00135859,0.117847,0.000916964,0.0260507,0.000546495,0.00660009,0.00135012,0.00195009,0.00116758,0.0273315,0,0.219212,0,0.0130277,0,0.00217001,0,0.0152832,0,0.21242,4.13761,0.0720816,2.79262,0.385109,1.66435,0.235315,4.1118,0.180173,3.55587,0.0213168,3.61737,0.0312343,2.44149,0.00500531,1.45509,0.0755066,3.59481,0.0161698,3.10878,0.00409702,0.00704916,6.41651e-05,0.00475774,0.0250844,0.00283553,0,0.0070052,0.0649528,0.00605807,0.170489,588112,2218.2,6766.53,458312,116600,4214.99
