country_iso3,year,period,allegation,paragraph_id,word_count,flagged_for_review,suggested_violation,violation_score,violation_matches,suggested_strategy,strategy_score,strategy_matches,manual_violation_code,manual_strategy_code,coder_notes,paragraph_text
GBR,1956,Cold War (1946–1989),UK participation in Suez intervention (Operation Musketeer),0,127,False,,0.0,,,0.0,,,,,"It is a pleasure to me to join previous speakers in extending my good wishes and congratulations to the President. We welcome him for the many qualities which he brings to his high office, and congratulate him out of the sincere feelings of friendship which we entertain for his country. 36. I should like also to pay a tribute to the Secretary-General who, by his energy and devotion, has increasingly excited the admiration of the world and whose unique qualities I have been fortunate to come to value through close personal experience. 37. The past half-century has been a period of convulsion unparalleled in its intensity in the long history of human affairs. Man’s inventiveness, for good and for evil, has transformed the face of human society."
GBR,1956,Cold War (1946–1989),UK participation in Suez intervention (Operation Musketeer),1,126,False,,0.0,,,0.0,,,,,"It has produced revolutionary changes in the map of the world. It has resulted in two world wars which, in their turn, have promoted an overwhelming desire in the majority of nations for stability and peace. 38. Early in 1945, before the Second World War had ended, my country joined with the United States in propounding a plan for a world organization, a plan which received the approval of the Soviet Government of the time in return for the provision of the veto. This was a somewhat grudging approval, as I recall from the discussions in the Livadia palace in the Crimea in 1945. 39. The Charter of the United Nations, and the setting up of the Organization in which we now sit, was the result."
GBR,1956,Cold War (1946–1989),UK participation in Suez intervention (Operation Musketeer),2,124,False,,0.0,,,0.0,,,,,"There is no doubt that this conception was the right conception for the modern world — a world so complex that it needs one universal, international organization in which all the nations can meet. 40. By the admission of nineteen new Members in the course of the past year, the Organization has become more representative of the world as it exists. We hope that the process will be continued by remedying in the course of the present session the deplorable exclusion of Japan from our numbers. 41. I wish that I could stand on this rostrum and proclaim that the United Nations is the cure for all our troubles: that we could all of us look exclusively to this Organization for security and justice."
GBR,1956,Cold War (1946–1989),UK participation in Suez intervention (Operation Musketeer),3,131,False,,0.0,,,0.0,,,,,"This, of course, is not so. We should do well to recognize the fact and understand why. 42. In the first place, the United Nations has no built-in authority. It was intended by those who framed the Charter that the United Nations would keep the peace through the instrumentality of the Security Council. Everyone knows that it has failed in this respect, because the expected degree of co-operation among the five permanent members has not been forthcoming. 43. On the one hand, it has been found impossible to establish the military arm for which Article 43 of the Charter makes provision. On the other hand, the Charter provision on unanimity among the permanent members has from the outset been misused in matters not affecting the vital interests of the Power concerned."
GBR,1956,Cold War (1946–1989),UK participation in Suez intervention (Operation Musketeer),4,131,False,,0.007634,aggression,,0.0,,,,,"As a result, Member States have been unable to regard the United Nations as the bulwark of their security. And, while paying lip-service to the principles of the Charter, some Members have pursued world policies designed to expand their power by methods which have varied, according to the circumstances of the time, from the use of the concealed threat of aggression to more subtle methods of penetrating through political warfare. 44. It was in these circumstances that the countries of the North Atlantic alliance found it necessary, and still find it essential, to unite together in order to provide for themselves the collective security which the United Nations has been unable to offer. 45. For the same reason, countries in other parts of the world have come together in defensive associations."
GBR,1956,Cold War (1946–1989),UK participation in Suez intervention (Operation Musketeer),5,178,False,,0.005618,weapons of mass destruction,,0.0,,,,,"For the past ten years we have in fact been engaged in a struggle between Soviet communism and the free world. Some in the free world are more conscious than others of their responsibilities in this struggle; some give the impression of underestimating the dangers. But all, I believe, are in fact at one in a determination to manage their own affairs and live their national life in their own way, and not to fall victim to the godless, materialistic, totalitarian servitude of Soviet communism directed from the bastion of the Kremlin. Whether our civilization is Christian or Moslem or founded in one of the other great religious systems, in that sense the free world is one. 46. Events and developments during the past fifty years have been crowding in on mankind to such an extent, and fear of a third world war has been so heightened by the increasing destructiveness of new weapons of mass destruction, that attention has been paid in overwhelming measure to those aspects of the Charter which emphasize the maintenance of international peace."
GBR,1956,Cold War (1946–1989),UK participation in Suez intervention (Operation Musketeer),6,128,True,,0.0,,procedural_legal,0.015625,international law; in conformity with,,,,"But bitter experience has proved that peace at any price is the surest road to disaster. The framers of the Charter, though they may not have expressed it in exactly this way, were very conscious of this all-important point when they laid equal stress on the importance of dealing with disputes and situations in conformity with the principles of justice and international law. 47. During the past five weeks, this Assembly has been dealing with situations of gravity in the Middle East and in Central Europe. In the Middle East, two permanent Members of the Organization, anxious to strengthen in every way the capacity of the United Nations to carry out its task of maintaining international peace and security, are complying with the recommendations of the General Assembly."
GBR,1956,Cold War (1946–1989),UK participation in Suez intervention (Operation Musketeer),7,140,False,,0.0,,,0.0,,,,,"In the case of Hungary there has, as yet, been no evidence that another permanent Member of the Organization is willing to pay attention to the Assembly’s demands that it should right a wrong which violates every principle of the Charter. 48. I do not now intend to go more deeply into the question of Hungary, which we are debating in another context. The point I wish to make, and make with emphasis, is that the rule of law must be the same for all. There cannot be one rule for those who comply and another for those who defy. Unless our Organization recognizes the need for an even dispensation of justice for all, the United Nations will inevitably undermine the foundation of its moral authority — and it is on moral authority that the United Nations is founded. 49."
GBR,1956,Cold War (1946–1989),UK participation in Suez intervention (Operation Musketeer),8,124,False,,0.0,,,0.0,,,,,"We are an association of sovereign peoples, without any built-in authority to do this or that. Unless we base our conclusions upon the principles of fairness and justice, universally applicable, I fear that all we may do in the world outside this Assembly hall is to disrupt old friendships and disturb the carefully constructed and delicately balanced pattern of relationships between countries. If it is essential for the United Nations to be guided by these principles, it is almost equally important that Member States should avoid that distortion of the truth which has so often marred our debates. 50. I must here allude to certain allegations by the Foreign Minister of Egypt in his speech in the General Assembly on 27 November [597th meeting]."
GBR,1956,Cold War (1946–1989),UK participation in Suez intervention (Operation Musketeer),9,128,False,,0.007812,invasion,,0.007812,sovereignty,,,,"Fawzi described the Anglo-French operation at Port Said in terms which varied so completely from the facts that one might have supposed that he was describing events which have recently taken place in another part of the world. 51. Extraordinary precautions were in fact taken to minimize damage and casualties in Port Said. Advance warning was given, with serious risk to the Anglo-French forces. The full power which was militarily available was deliberately forfeited. This we felt to be in accord with the purposes of our action which, as hall been explained, was no invasion of Egypt, or attaint on Egyptian sovereignty. The bulk of the damage in Port Said occurred after the Egyptian commander had gone back on the cease-fire to which he had previously agreed. 52."
