iso3,year,terrorism,self_defense,sovereignty,humanitarian,whataboutism,procedural,historical,group,period
CAN,1956,0.0,0.0,0.0,0.0,0.0,0.2552974214960429,0.0,Western bloc,1946–1959
NZL,1946,0.0,0.0,0.0,0.0,0.0,0.5253020486779899,0.0,Western bloc,1946–1959
AUS,1953,0.0,0.0,0.0,0.0,0.0,0.0,0.4816955684007707,Western bloc,1946–1959
DNK,1951,0.0,0.0,0.35385704175513094,0.0,0.0,0.35385704175513094,0.35385704175513094,Western bloc,1946–1959
TUR,1948,0.0,0.0,0.0,0.0,0.0,0.0,1.2239902080783354,Western bloc,1946–1959
GBR,1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,1946–1959
NLD,1948,0.6327111673521038,0.3163555836760519,0.0,0.0,0.0,0.3163555836760519,0.0,Western bloc,1946–1959
GBR,1951,0.0,0.32247662044501774,0.0,0.0,0.0,0.0,0.32247662044501774,Western bloc,1946–1959
USA,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,1946–1959
AUS,1952,0.0,0.0,0.0,0.8787346221441125,0.0,0.6590509666080844,0.0,Western bloc,1946–1959
SWE,1959,0.0,0.0,0.0,0.0,0.0,1.0422094841063052,0.0,Western bloc,1946–1959
CAN,1946,0.0,0.0,0.0,0.0,0.0,0.6574621959237344,0.0,Western bloc,1946–1959
TUR,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,1946–1959
NZL,1959,0.0,0.0,0.0,0.2731494127287626,0.0,0.5462988254575252,0.2731494127287626,Western bloc,1946–1959
GRC,1954,0.0,0.0,0.0,0.0,0.0,2.734731084776664,0.0,Western bloc,1946–1959
ITA,1959,0.0,0.0,0.0,0.0,0.0,1.0534632604687912,0.2633658151171978,Western bloc,1946–1959
ISL,1953,0.0,0.0,0.20529665366454525,0.0,0.0,0.20529665366454525,0.4105933073290905,Western bloc,1946–1959
ISR,1950,0.0,0.0,0.3556187766714083,0.3556187766714083,0.0,0.0,0.0,Western bloc,1946–1959
GRC,1955,0.5455537370430987,0.0,0.0,0.0,0.0,3.273322422258593,0.0,Western bloc,1946–1959
NLD,1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,1946–1959
ISL,1959,0.0,0.0,0.3533568904593639,0.0,0.17667844522968196,1.0600706713780919,0.0,Western bloc,1946–1959
CAN,1957,0.0,0.0,0.5261773217574323,0.0,1.5785319652722967,0.0,0.0,Western bloc,1946–1959
TUR,1951,0.0,0.0,0.8097165991902834,0.0,0.0,0.0,0.8097165991902834,Western bloc,1946–1959
GRC,1958,0.0,0.0,0.23923444976076555,0.0,0.0,0.4784688995215311,0.0,Western bloc,1946–1959
NOR,1959,0.0,0.0,0.0,0.0,0.0,1.784121320249777,0.0,Western bloc,1946–1959
RUS,1957,0.0,0.0,0.08742022904100008,0.0,0.08742022904100008,0.26226068712300027,0.0,Soviet/Eastern bloc,1946–1959
BLR,1957,0.0,0.0,0.6817794443497528,0.0,0.0,0.1704448610874382,0.3408897221748764,Soviet/Eastern bloc,1946–1959
BLR,1946,0.0,0.0,0.32733224222585927,0.0,0.0,1.6366612111292964,0.0,Soviet/Eastern bloc,1946–1959
CSK,1948,0.0,0.0,0.2565418163160595,0.0,0.0,0.2565418163160595,0.0,Soviet/Eastern bloc,1946–1959
POL,1947,0.0,0.0,0.0,0.0,0.0,0.5395198273536552,0.0,Soviet/Eastern bloc,1946–1959
POL,1959,0.0,0.0,0.0,0.0,0.0,0.0,0.9052504526252263,Soviet/Eastern bloc,1946–1959
RUS,1948,0.0,0.0,0.29036004645760743,0.0,0.0,0.4355400696864111,0.0,Soviet/Eastern bloc,1946–1959
POL,1958,0.0,0.0,0.32733224222585927,0.0,0.0,0.32733224222585927,0.9819967266775776,Soviet/Eastern bloc,1946–1959
CSK,1956,0.0,0.0,0.22914757103574704,0.0,0.0,1.6040329972502292,0.4582951420714941,Soviet/Eastern bloc,1946–1959
RUS,1958,0.0,0.0,0.11853959222380275,0.0,0.0,0.11853959222380275,0.05926979611190138,Soviet/Eastern bloc,1946–1959
CUB,1956,0.0,0.0,0.2696871628910464,0.2696871628910464,0.0,0.2696871628910464,0.0,Soviet/Eastern bloc,1946–1959
HUN,1957,0.0,0.0,1.4738393515106853,0.24563989191844754,0.0,0.24563989191844754,0.0,Soviet/Eastern bloc,1946–1959
RUS,1951,0.0,0.0,0.05250721974271462,0.0,0.21002887897085848,0.5250721974271463,0.0,Soviet/Eastern bloc,1946–1959
ROU,1957,0.0,0.0,1.343183344526528,0.2238638907544213,0.0,0.671591672263264,0.2238638907544213,Soviet/Eastern bloc,1946–1959
POL,1948,0.0,0.0,0.26260504201680673,0.26260504201680673,0.0,0.7878151260504201,0.0,Soviet/Eastern bloc,1946–1959
POL,1955,0.0,0.0,0.4938271604938272,0.0,0.0,0.7407407407407407,0.0,Soviet/Eastern bloc,1946–1959
ALB,1957,0.0,0.0,0.8393956351426973,0.0,0.0,1.1191941801902632,0.0,Soviet/Eastern bloc,1946–1959
CUB,1954,0.0,0.0,0.8635578583765112,0.0,0.0,0.8635578583765112,0.0,Soviet/Eastern bloc,1946–1959
HUN,1956,0.0,0.0,1.3844023996308261,0.0,0.0,0.46146746654360865,0.9229349330872173,Soviet/Eastern bloc,1946–1959
UKR,1953,0.0,0.0,0.25759917568263785,0.0,0.0,0.0,0.25759917568263785,Soviet/Eastern bloc,1946–1959
BLR,1948,0.0,0.0,0.0,0.0,0.0,0.8698173383589446,0.0,Soviet/Eastern bloc,1946–1959
BGR,1958,0.0,0.0,0.38402457757296465,0.0,0.0,0.38402457757296465,0.2560163850486431,Soviet/Eastern bloc,1946–1959
RUS,1950,0.0,0.0,0.0,0.0,0.0,1.0067958721369243,0.0,Soviet/Eastern bloc,1946–1959
UKR,1950,0.0,0.0,0.0,0.0,0.0,1.2290045063498567,0.40966816878328555,Soviet/Eastern bloc,1946–1959
CSK,1946,0.0,0.0,0.0,0.0,0.0,0.0,0.7267441860465116,Soviet/Eastern bloc,1946–1959
PHL,1946,0.0,0.0,0.0,0.0,0.0,0.0,0.8361204013377926,Non-Aligned Movement,1946–1959
VEN,1950,0.0,0.0,0.0,0.0,0.0,1.7482517482517483,0.5827505827505828,Non-Aligned Movement,1946–1959
IND,1957,0.0,0.0,0.4019561867756415,0.06699269779594023,0.0,0.0,0.13398539559188047,Non-Aligned Movement,1946–1959
MEX,1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,1946–1959
ZAF,1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,1946–1959
ECU,1956,0.0,0.0,0.28153153153153154,0.0,0.0,1.1261261261261262,0.0,Non-Aligned Movement,1946–1959
KHM,1959,0.0,0.0,1.3623978201634876,0.0,0.0,1.3623978201634876,0.0,Non-Aligned Movement,1946–1959
