iso3,year,terrorism,self_defense,sovereignty,humanitarian,whataboutism,procedural,historical,period
NZL,1953,0.0,0.0,0.0,0.35790980672870437,0.0,0.35790980672870437,0.0,1946–1959
IND,1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946–1959
BGR,1957,0.0,0.0,0.0,0.0,0.0,0.4230118443316413,0.4230118443316413,1946–1959
DNK,1959,0.0,0.0,0.0,0.39416633819471814,0.0,0.39416633819471814,0.0,1946–1959
DOM,1959,0.0,0.0,1.252191334835963,1.0017530678687703,0.0,1.252191334835963,0.7513148009015778,1946–1959
UKR,1959,0.0,0.0,0.0,0.0,0.0,0.27367268746579093,0.27367268746579093,1946–1959
DOM,1948,0.0,0.0,2.2740193291642976,0.5685048322910744,0.0,0.5685048322910744,0.0,1946–1959
TUR,1951,0.0,0.0,0.8097165991902834,0.0,0.0,0.0,0.8097165991902834,1946–1959
SLV,1950,0.0,0.0,0.0,0.0,0.0,1.056710109193378,0.0,1946–1959
BRA,1956,0.0,0.0,0.546448087431694,0.0,0.0,0.0,0.0,1946–1959
HTI,1951,0.0,0.0,0.0,0.38804811796662786,0.0,1.1641443538998835,0.38804811796662786,1946–1959
CAN,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946–1959
ETH,1958,0.0,0.0,0.0,0.0,0.0,0.8631851532153647,0.0,1946–1959
ARG,1957,0.0,0.0,0.9610764055742432,0.0,0.0,0.0,0.0,1946–1959
TUN,1957,0.0,0.0,0.43802014892685065,0.43802014892685065,0.0,0.8760402978537013,0.43802014892685065,1946–1959
PRY,1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946–1959
THA,1959,0.0,0.0,0.382262996941896,0.0,0.0,0.0,0.0,1946–1959
ZAF,1959,0.0,0.0,0.0,0.14667057788207685,0.0,0.44001173364623053,0.2933411557641537,1946–1959
NZL,1956,0.0,0.0,0.2337540906965872,0.2337540906965872,0.0,0.0,0.0,1946–1959
SAU,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946–1959
PHL,1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946–1959
PHL,1956,0.8080808080808081,0.0,0.0,0.0,0.0,0.0,0.0,1946–1959
POL,1952,0.10232272587741738,0.0,0.10232272587741738,0.20464545175483476,0.0,0.5116136293870869,0.0,1946–1959
BEL,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946–1959
